gpu,dtype,tokens,head_dim,normalize,backend,median_us,min_us,max_us,repeats,all_pass
NVIDIA H200,float16,1,256,1,hopper/wmma_split,1.8456000834703445,1.8106000497937202,1.8464000895619392,5,True
NVIDIA H200,float16,1,64,0,dao,1.5949999913573265,1.5731999650597572,1.600399985909462,5,True
NVIDIA H200,float16,1,64,0,dao_plus_quant,2.863599918782711,2.860400080680847,2.86679994314909,5,True
NVIDIA H200,float16,1,64,0,hopper/mma_fast,1.4364000409841537,1.433399971574545,1.437199953943491,5,True
NVIDIA H200,float16,1,64,0,hopper/mma_split,1.450200006365776,1.448800042271614,1.4518000185489655,5,True
NVIDIA H200,float16,1,64,0,hopper/warp,1.444000005722046,1.425000000745058,1.4627999626100063,5,True
NVIDIA H200,float16,1,64,0,hopper/wmma_fast,1.4453999698162079,1.4290000312030315,1.4465999789536,5,True
NVIDIA H200,float16,1,64,0,hopper/wmma_split,1.4720000326633453,1.4507999643683434,1.4733999967575073,5,True
NVIDIA H200,float16,1,64,1,dao,1.5611999668180943,1.5595999546349049,1.5626000240445137,5,True
NVIDIA H200,float16,1,64,1,dao_plus_quant,2.79300007969141,2.792000025510788,2.7950000017881393,5,True
NVIDIA H200,float16,1,64,1,hopper/mma_fast,1.3821999542415142,1.381599996238947,1.3836000114679337,5,True
NVIDIA H200,float16,1,64,1,hopper/mma_split,1.427599973976612,1.4259999617934227,1.4287999831140041,5,True
NVIDIA H200,float16,1,64,1,hopper/warp,1.4134000055491924,1.4097999781370163,1.4158000238239765,5,True
NVIDIA H200,float16,1,64,1,hopper/wmma_fast,1.4031999744474888,1.4022000133991241,1.4039999805390835,5,True
NVIDIA H200,float16,1,64,1,hopper/wmma_split,1.4120000414550304,1.39359999448061,1.4138000085949898,5,True
NVIDIA H200,float16,128,128,0,dao,1.7028000205755234,1.702599972486496,1.703999936580658,5,True
NVIDIA H200,float16,128,128,0,dao_plus_quant,3.1812001019716263,3.1780000776052475,3.2173998653888702,5,True
NVIDIA H200,float16,128,128,0,hopper/mma_fast,1.6373999416828156,1.6367999836802483,1.6392000019550323,5,False
NVIDIA H200,float16,128,128,0,hopper/mma_split,1.6408000141382217,1.6373999416828156,1.6572000458836555,5,True
NVIDIA H200,float16,128,128,0,hopper/warp,1.5394000336527824,1.5386000275611877,1.540399994701147,5,True
NVIDIA H200,float16,128,128,0,hopper/wmma_fast,1.9581999629735947,1.9564000889658928,1.958799920976162,5,False
NVIDIA H200,float16,128,128,0,hopper/wmma_split,1.962600089609623,1.9602000713348389,1.965400017797947,5,True
NVIDIA H200,float16,128,128,1,dao,1.7014000564813614,1.6990000382065773,1.7031999304890633,5,True
NVIDIA H200,float16,128,128,1,dao_plus_quant,3.212999925017357,3.2120000571012497,3.2145999372005463,5,True
NVIDIA H200,float16,128,128,1,hopper/mma_fast,1.62579994648695,1.6225999221205711,1.6270000487565994,5,True
NVIDIA H200,float16,128,128,1,hopper/mma_split,1.6707999631762505,1.6693999990820885,1.6713999211788177,5,True
NVIDIA H200,float16,128,128,1,hopper/warp,1.5292000025510788,1.524799969047308,1.5441999770700932,5,True
NVIDIA H200,float16,128,128,1,hopper/wmma_fast,1.9308000802993774,1.9300000742077827,1.9330000504851341,5,True
NVIDIA H200,float16,128,128,1,hopper/wmma_split,1.95700004696846,1.9549999386072159,1.9713999703526497,5,True
NVIDIA H200,float16,128,256,0,dao,1.7123999074101448,1.7111999914050102,1.713000051677227,5,True
NVIDIA H200,float16,128,256,0,dao_plus_quant,3.2797999680042267,3.2788001000881195,3.2811999320983887,5,True
NVIDIA H200,float16,128,256,0,hopper/mma_fast,1.6519999131560326,1.6491999849677086,1.653200015425682,5,False
NVIDIA H200,float16,128,256,0,hopper/mma_split,1.6721999272704124,1.6572000458836555,1.677200011909008,5,True
NVIDIA H200,float16,128,256,0,hopper/warp,1.5680000185966492,1.5514000318944454,1.5863999724388123,5,True
NVIDIA H200,float16,128,256,0,hopper/wmma_fast,1.938600093126297,1.9365999847650528,1.9395999610424042,5,False
NVIDIA H200,float16,128,256,0,hopper/wmma_split,1.9778000190854073,1.9765999168157578,1.9788000732660294,5,True
NVIDIA H200,float16,128,256,1,dao,1.7621999606490135,1.7619999125599861,1.7645999789237976,5,True
NVIDIA H200,float16,128,256,1,dao_plus_quant,3.2986000180244446,3.2972000539302826,3.300800174474716,5,True
NVIDIA H200,float16,128,256,1,hopper/mma_fast,1.6217999160289764,1.6203999519348145,1.623000018298626,5,True
